T_K,dIW_dex,rank1,rank2,rank3,rank4,P_total_bar,p_H2O_bar,p_CO2_bar,p_O2_bar,p_H2_bar,p_CO_bar,p_CH4_bar,p_N2_bar,p_NH3_bar,p_S2_bar,p_SO2_bar,p_H2S_bar
2035.7142857142858,-2.3636363636363633,CO,H2,CO2,CH4,1346.6577049846826,4.872811509940505,16.491059666495996,5.416935149934777e-10,79.18134955662056,1234.9788295275712,6.48205416217739,4.592660485602182,0.03127701607465972,5.236820410818379e-07,1.1606787627066953e-07,0.02766241990839633
2035.7142857142858,-1.5454545454545454,CO,CO2,H2,N2,1355.1493717937487,5.317621872055174,43.364556104768035,3.563981610957516e-09,33.68758126566557,1266.0619182057255,0.46893326411870717,6.208476828711042,0.010091508050202187,3.4454272452183246e-06,1.9587614933160684e-06,0.030187336901716134
2035.7142857142858,-0.7272727272727271,CO,CO2,H2,N2,1376.2681880823839,5.4780046414056285,109.04794015054232,2.344861913917553e-08,13.529565979594048,1241.2138073362437,0.028909451599283344,6.936092094898096,0.0027148261027235823,2.2668680315512015e-05,3.305635417937806e-05,0.031097853515127463
2035.7142857142858,0.09090909090909083,CO,CO2,N2,H2O,1422.1572796206592,5.541413096602554,258.16056629378073,1.54276256040049e-07,5.335696109738144,1145.5871343228866,0.0016178748257678357,7.4979877419819605,0.0006990653663929644,0.00014914606216476843,0.0005578655562261237,0.03145794958248132
2035.7142857142858,0.9090909090909092,CO,CO2,N2,H2O,1496.8900715037614,5.567886085207722,542.4724464582663,1.0150347462452606e-06,2.090114086347306,938.4799477712514,7.928822385857072e-05,8.237414640082601,0.0001796425641253832,0.0009812081248811576,0.009414256748704377,0.03160705191005212
2035.7142857142858,1.7272727272727275,CO2,CO,N2,H2O,1581.3803070336937,5.5796565958131135,935.0299398359,6.678250837366208e-06,0.8165752499990967,630.6405925786405,3.1704955276443735e-06,9.116622097595732,4.614982819562063e-05,0.006446745831311244,0.15876602177228327,0.031651909567080326
2035.7142857142858,2.545454545454546,CO2,CO,N2,H2O,1650.2535783879975,5.584983826952546,1292.0392376119275,4.393843108500455e-05,0.31865427736380636,339.7357097270347,1.0140108270315961e-07,9.850756337899481,1.1694272525816902e-05,0.041531646899349434,2.651298849474067,0.03135037634162294
2035.7142857142858,3.363636363636364,CO2,CO,SO2,N2,1738.3921298343162,5.58757434918849,1527.1091838054335,0.00028908553650151375,0.12428829734181746,156.54697322225283,2.7712527189333267e-09,10.379410783014961,2.9240884230262048e-06,0.2014297103017434,38.416048331584165,0.0269293228027971
2035.7142857142858,4.181818181818182,CO2,SO2,CO,N2,1970.9905933292987,5.589555562108948,1686.4826070465065,0.0019019897923230372,0.048472262569720294,67.40087641018137,7.075093745445676e-11,10.957810730996616,7.317464578767912e-07,0.12659576759020655,200.37444682949354,0.008325998242339781
2035.7142857142858,5.0,CO2,SO2,CO,N2,2067.9253732627326,5.59025058011218,1752.0712926759306,0.012513822773288743,0.018899763979827074,27.298861920642683,1.6984253572419826e-12,11.173411296345957,1.7990211010379957e-07,0.005379266615413641,271.7540945634971,0.0006691929321115145
2142.857142857143,-4.0,CO,H2,CH4,H2O,1297.0828523127402,2.1244950219258185,1.8982120531832387,6.159564396391161e-11,215.3992253442928,955.4322136178341,121.90354471427106,0.2859892361239292,0.030120895558764314,1.6222730455082323e-08,7.98261730973134e-10,0.009051412467980814
2142.857142857143,-3.1818181818181817,CO,H2,CH4,CO2,1338.751182626641,3.916524913106771,5.82391057765858,4.0525820658035846e-10,154.80978362620186,1142.8229209907136,29.363851594707466,1.9495875221863983,0.04791768237888149,1.0672503749748611e-07,1.3470952648163496e-08,0.01668559908575926
2142.857142857143,-2.3636363636363633,CO,H2,CO2,H2O,1347.702075358528,4.948015225048523,16.241465837444544,2.6663283867435817e-09,76.24961029531296,1242.5061814817834,3.0193967044588135,4.690633164720766,0.025692064772652397,7.021520467453623e-07,2.2733303644500058e-07,0.021079652835160764
2142.857142857143,-1.5454545454545454,CO,CO2,H2,N2,1354.7514316554862,5.333737524086349,42.526475472383694,1.7542660334862165e-08,32.04404493272054,1268.3578949668129,0.2122227478348506,6.246247582535261,0.008077136567903345,4.619652025685544e-06,3.8364842507123774e-06,0.022722818866099975
2142.857142857143,-0.7272727272727271,CO,CO2,H2,N2,1375.436215622996,5.4831323451561635,106.91848951515311,1.154189908318828e-07,12.84261642146776,1243.2095326672504,0.013026144696092284,6.943803224978964,0.00216075636227127,3.039428189020916e-05,6.47450468639275e-05,0.023359293184113436
2142.857142857143,0.09090909090909083,CO,CO2,N2,H2O,1420.6271714647635,5.543221822273712,253.47298259442294,7.593798882474279e-07,5.061696856860936,1149.0324212354067,0.0007291186066896432,7.490655893607136,0.0005553041919848131,0.00019997365672429627,0.0010926443348180663,0.02361526202200324
